Entidade,Pagina,Titulo,Link,Data,Tema,texto
ARSAE-MG,https://www.arsae.mg.gov.br/estoque-regulatorio/,Conselho Consultivo de Regulação,https://www.arsae.mg.gov.br/conselho/,,Não Classificado,
ARSAE-MG,https://www.arsae.mg.gov.br/estoque-regulatorio/,Revista Regulação em Foco,https://www.arsae.mg.gov.br/revista/,,Não Classificado,
ARSAE-MG,https://www.arsae.mg.gov.br/estoque-regulatorio/,Normas,https://www.arsae.mg.gov.br/estoque-regulatorio/#,,Não Classificado,
ARSAE-MG,https://www.arsae.mg.gov.br/estoque-regulatorio/,Resoluções,https://www.arsae.mg.gov.br/resolucoes-2/,,Não Classificado,
ARSAE-MG,https://www.arsae.mg.gov.br/estoque-regulatorio/,Legislação Setorial,https://www.arsae.mg.gov.br/legislacao-setorial/,,Não Classificado,
ARSAE-MG,https://www.arsae.mg.gov.br/estoque-regulatorio/,Biblioteca de resoluções,http://www.arsae.mg.gov.br/resolucoes-2/,,Não Classificado,
ARSAE-MG,https://www.arsae.mg.gov.br/estoque-regulatorio/,Telefones de contato,https://www.arsae.mg.gov.br/estoque-regulatorio/quem-e-quem/,,Não Classificado,
ARSAE-MG,https://www.arsae.mg.gov.br/resolucoes-2/,Conselho Consultivo de Regulação,https://www.arsae.mg.gov.br/conselho/,,Não Classificado,
ARSAE-MG,https://www.arsae.mg.gov.br/resolucoes-2/,Revista Regulação em Foco,https://www.arsae.mg.gov.br/revista/,,Não Classificado,
ARSAE-MG,https://www.arsae.mg.gov.br/resolucoes-2/,Normas,https://www.arsae.mg.gov.br/resolucoes-2/#,,Não Classificado,
ARSAE-MG,https://www.arsae.mg.gov.br/resolucoes-2/,Resoluções,https://www.arsae.mg.gov.br/resolucoes-2/,,Não Classificado,
ARSAE-MG,https://www.arsae.mg.gov.br/resolucoes-2/,Legislação Setorial,https://www.arsae.mg.gov.br/legislacao-setorial/,,Não Classificado,
ARSAE-MG,https://www.arsae.mg.gov.br/resolucoes-2/,"RESOLUÇÃO ARSAE-MG Nº 210, DE 24 DE JUNHO DE 2025",https://www.arsae.mg.gov.br/2025/06/25/resolucao-210-2025/,,Não Classificado,
ARSAE-MG,https://www.arsae.mg.gov.br/resolucoes-2/,"RESOLUÇÃO ARSAE-MG Nº 209, DE 13 DE JUNHO DE 2025",https://www.arsae.mg.gov.br/2025/06/13/resolucao-209-2025/,,Não Classificado,
